00000 | X=FFFF Y=FFFF Z=FFFF | jmp      00062
000DA | X=0062 Y=0060 Z=F052 | st       Z, r1
000DC | X=0062 Y=0060 Z=F052 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F052 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F054 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F054 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F054 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F054 | brne     $00DA
000DA | X=0062 Y=0060 Z=F054 | st       Z, r1
000DC | X=0062 Y=0060 Z=F054 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F054 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F056 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F056 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F056 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F056 | brne     $00DA
000DA | X=0062 Y=0060 Z=F056 | st       Z, r1
000DC | X=0062 Y=0060 Z=F056 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F056 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F058 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F058 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F058 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F058 | brne     $00DA
000DA | X=0062 Y=0060 Z=F058 | st       Z, r1
000DC | X=0062 Y=0060 Z=F058 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F058 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F05A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F05A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F05A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F05A | brne     $00DA
000DA | X=0062 Y=0060 Z=F05A | st       Z, r1
000DC | X=0062 Y=0060 Z=F05A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F05A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F05C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F05C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F05C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F05C | brne     $00DA
000DA | X=0062 Y=0060 Z=F05C | st       Z, r1
000DC | X=0062 Y=0060 Z=F05C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F05C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F05E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F05E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F05E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F05E | brne     $00DA
000DA | X=0062 Y=0060 Z=F05E | st       Z, r1
000DC | X=0062 Y=0060 Z=F05E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F05E | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F060 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F060 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F060 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F060 | brne     $00DA
000DA | X=0062 Y=0060 Z=F060 | st       Z, r1
000DC | X=0062 Y=0060 Z=F060 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F060 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F062 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F062 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F062 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F062 | brne     $00DA
000DA | X=0062 Y=0060 Z=F062 | st       Z, r1
000DC | X=0062 Y=0060 Z=F062 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F062 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F064 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F064 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F064 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F064 | brne     $00DA
000DA | X=0062 Y=0060 Z=F064 | st       Z, r1
000DC | X=0062 Y=0060 Z=F064 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F064 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F066 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F066 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F066 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F066 | brne     $00DA
000DA | X=0062 Y=0060 Z=F066 | st       Z, r1
000DC | X=0062 Y=0060 Z=F066 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F066 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F068 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F068 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F068 | cpc      r31, r25
